T,S,D
01-Jul-2016 00:00:00,4.11931,202.0918
01-Jul-2016 00:10:00,3.384196,202.51
01-Jul-2016 00:20:00,2.47409,198.3614
01-Jul-2016 00:30:00,2.611477,199.5682
01-Jul-2016 00:40:00,2.556307,195.4894
01-Jul-2016 00:50:00,2.327829,196.6523
01-Jul-2016 01:00:00,2.278021,192.6374
01-Jul-2016 01:10:00,2.411607,200.7608
01-Jul-2016 01:20:00,2.369428,191.4635
01-Jul-2016 01:30:00,2.640086,191.6218
01-Jul-2016 01:40:00,2.332068,196.4514
01-Jul-2016 01:50:00,3.061148,205.0976
01-Jul-2016 02:00:00,3.226276,201.1547
01-Jul-2016 02:10:00,3.252576,201.704
01-Jul-2016 02:20:00,3.855599,202.4963
01-Jul-2016 02:30:00,4.089644,204.93
01-Jul-2016 02:40:00,3.784078,209.1841
01-Jul-2016 02:50:00,2.943327,213.9421
01-Jul-2016 03:00:00,2.622195,220.1764
01-Jul-2016 03:10:00,3.313416,225.9261
01-Jul-2016 03:20:00,2.272397,220.9495
01-Jul-2016 03:30:00,2.441398,237.1951
01-Jul-2016 03:40:00,2.601453,243.3456
01-Jul-2016 03:50:00,2.908976,231.4482
01-Jul-2016 04:00:00,2.737134,233.1361
01-Jul-2016 04:10:00,2.780904,233.9857
01-Jul-2016 04:20:00,2.687405,239.7377
01-Jul-2016 04:30:00,3.118278,239.9012
01-Jul-2016 04:40:00,3.324719,254.811
01-Jul-2016 04:50:00,3.442432,257.6873
01-Jul-2016 05:00:00,2.432472,246.6171
01-Jul-2016 05:10:00,1.872926,243.6265
01-Jul-2016 05:20:00,2.046002,244.963
01-Jul-2016 05:30:00,2.15935,247.1365
01-Jul-2016 05:40:00,2.112264,233.5918
01-Jul-2016 05:50:00,1.724312,223.9713
01-Jul-2016 06:00:00,1.855853,218.7986
01-Jul-2016 06:10:00,1.97474,218.7746
01-Jul-2016 06:20:00,2.31882,209.7214
01-Jul-2016 06:30:00,2.598897,222.8963
01-Jul-2016 06:40:00,3.984104,232.7294
01-Jul-2016 06:50:00,3.603814,226.2141
01-Jul-2016 07:00:00,2.663999,218.7611
01-Jul-2016 07:10:00,2.872912,216.5497
01-Jul-2016 07:20:00,2.781911,215.1458
01-Jul-2016 07:30:00,2.636103,217.4461
01-Jul-2016 07:40:00,3.515318,227.882
01-Jul-2016 07:50:00,3.591546,222.2671
01-Jul-2016 08:00:00,3.479329,222.5228
01-Jul-2016 08:10:00,2.981625,220.1413
01-Jul-2016 08:20:00,2.950605,219.901
01-Jul-2016 08:30:00,3.367897,222.0871
01-Jul-2016 08:40:00,3.321674,222.3075
01-Jul-2016 08:50:00,3.776196,222.2457
01-Jul-2016 09:00:00,3.735396,220.5436
01-Jul-2016 09:10:00,4.353376,223.8193
01-Jul-2016 09:20:00,3.351419,222.1068
01-Jul-2016 09:30:00,3.60566,226.9851
01-Jul-2016 09:40:00,3.894766,242.1388
01-Jul-2016 09:50:00,3.753421,246.2121
01-Jul-2016 10:00:00,4.37435,243.1199
01-Jul-2016 10:10:00,4.219606,248.8501
01-Jul-2016 10:20:00,4.199589,253.5667
01-Jul-2016 10:30:00,4.696409,254.3212
01-Jul-2016 10:40:00,3.687843,246.7174
01-Jul-2016 10:50:00,4.528216,254.9641
01-Jul-2016 11:00:00,3.666544,251.615
01-Jul-2016 11:10:00,4.265801,251.4351
01-Jul-2016 11:20:00,3.553446,244.6886
01-Jul-2016 11:30:00,4.846514,249.4537
01-Jul-2016 11:40:00,5.186516,255.539
01-Jul-2016 11:50:00,5.711373,257.3622
01-Jul-2016 12:00:00,5.510914,257.6258
01-Jul-2016 12:10:00,4.387023,253.3142
01-Jul-2016 12:20:00,3.195099,236.5829
01-Jul-2016 12:30:00,4.399466,253.8138
01-Jul-2016 12:40:00,3.816316,250.6533
01-Jul-2016 12:50:00,4.357803,259.9768
01-Jul-2016 13:00:00,3.817255,266.6364
01-Jul-2016 13:10:00,3.943673,261.1173
01-Jul-2016 13:20:00,4.20279,299.0006
01-Jul-2016 13:30:00,4.043689,295.067
01-Jul-2016 13:40:00,4.524416,306.5718
01-Jul-2016 13:50:00,4.800444,316.2129
01-Jul-2016 14:00:00,4.753805,319.5604
01-Jul-2016 14:10:00,4.610619,315.6403
01-Jul-2016 14:20:00,4.449999,311.472
01-Jul-2016 14:30:00,4.55955,313.8829
01-Jul-2016 14:40:00,4.562016,314.5269
01-Jul-2016 14:50:00,4.11023,318.2882
01-Jul-2016 15:00:00,4.555644,318.5623
01-Jul-2016 15:10:00,4.076949,320.174
01-Jul-2016 15:20:00,4.106773,320.398
01-Jul-2016 15:30:00,4.835612,316.0482
01-Jul-2016 15:40:00,4.630911,317.1266
01-Jul-2016 15:50:00,4.413428,316.2617
01-Jul-2016 16:00:00,4.909325,315.3659
01-Jul-2016 16:10:00,4.295955,314.1797
01-Jul-2016 16:20:00,4.005897,316.4036
01-Jul-2016 16:30:00,3.654491,316.8696
01-Jul-2016 16:40:00,4.10678,330.6194
01-Jul-2016 16:50:00,3.364013,330.2786
01-Jul-2016 17:00:00,3.686092,327.8636
01-Jul-2016 17:10:00,3.677821,327.9825
01-Jul-2016 17:20:00,3.17312,335.4671
01-Jul-2016 17:30:00,3.255153,330.1471
01-Jul-2016 17:40:00,3.327281,331.927
01-Jul-2016 17:50:00,2.836582,329.6765
01-Jul-2016 18:00:00,2.451226,316.2429
01-Jul-2016 18:10:00,2.792591,307.4842
01-Jul-2016 18:20:00,2.149424,315.7804
01-Jul-2016 18:30:00,1.80797,309.3564
01-Jul-2016 18:40:00,0.9187577,298.7948
01-Jul-2016 18:50:00,0.9060507,127.8861
01-Jul-2016 19:00:00,0.9153487,159.6561
01-Jul-2016 19:10:00,0.7825828,215.9467
01-Jul-2016 19:20:00,0.674823,238.7637
01-Jul-2016 19:30:00,1.7594,269.6449
01-Jul-2016 19:40:00,3.082803,266.8387
01-Jul-2016 19:50:00,3.152694,265.5251
01-Jul-2016 20:00:00,3.505824,262.2945
01-Jul-2016 20:10:00,3.514251,254.4056
01-Jul-2016 20:20:00,3.138401,258.0069
01-Jul-2016 20:30:00,3.015657,259.0831
01-Jul-2016 20:40:00,3.194133,255.9302
01-Jul-2016 20:50:00,2.944299,260.384
01-Jul-2016 21:00:00,2.668443,258.4149
01-Jul-2016 21:10:00,2.524082,263.8815
01-Jul-2016 21:20:00,1.912122,274.7026
01-Jul-2016 21:30:00,1.732887,264.3949
01-Jul-2016 21:40:00,1.682426,257.9655
01-Jul-2016 21:50:00,0.9980432,248.8263
01-Jul-2016 22:00:00,0.5211284,36.53048
01-Jul-2016 22:10:00,0.3928609,147.7427
01-Jul-2016 22:20:00,2.064915,225.1723
01-Jul-2016 22:30:00,2.305984,233.2843
01-Jul-2016 22:40:00,2.310532,235.6659
01-Jul-2016 22:50:00,1.741105,246.6038
01-Jul-2016 23:00:00,1.422479,239.5005
01-Jul-2016 23:10:00,1.80325,251.9542
01-Jul-2016 23:20:00,1.537571,253.2173
01-Jul-2016 23:30:00,1.14577,240.7557
01-Jul-2016 23:40:00,1.112005,247.4667
01-Jul-2016 23:50:00,1.721784,256.601
02-Jul-2016 00:00:00,1.608031,251.1835
02-Jul-2016 00:10:00,1.417059,246.9374
02-Jul-2016 00:20:00,0.9771941,241.6053
02-Jul-2016 00:30:00,0.9226018,237.8052
02-Jul-2016 00:40:00,0.5491307,247.6018
02-Jul-2016 00:50:00,0.5630488,58.16135
02-Jul-2016 01:00:00,0.4467419,63.0307
02-Jul-2016 01:10:00,0.756177,74.60689
02-Jul-2016 01:20:00,0.7609604,113.7824
02-Jul-2016 01:30:00,0.7076412,146.1808
02-Jul-2016 01:40:00,0.3946193,148.8225
02-Jul-2016 01:50:00,0.2464348,37.88678
02-Jul-2016 02:00:00,0.5274755,74.43971
02-Jul-2016 02:10:00,0.4144818,85.83427
02-Jul-2016 02:20:00,0.5669816,150.3869
02-Jul-2016 02:30:00,0.580027,215.1557
02-Jul-2016 02:40:00,1.331582,243.7792
02-Jul-2016 02:50:00,1.858455,236.1857
02-Jul-2016 03:00:00,1.898343,232.4936
02-Jul-2016 03:10:00,1.869694,238.578
02-Jul-2016 03:20:00,1.996504,245.3472
02-Jul-2016 03:30:00,2.118381,252.198
02-Jul-2016 03:40:00,2.710248,258.1312
02-Jul-2016 03:50:00,2.641673,259.6261
02-Jul-2016 04:00:00,2.355123,257.1657
02-Jul-2016 04:10:00,2.277145,264.4162
02-Jul-2016 04:20:00,2.679866,265.384
02-Jul-2016 04:30:00,2.366223,271.0067
02-Jul-2016 04:40:00,1.875982,277.2821
02-Jul-2016 04:50:00,2.246367,275.5584
02-Jul-2016 05:00:00,2.199981,280.8412
02-Jul-2016 05:10:00,1.792405,283.5411
02-Jul-2016 05:20:00,2.317554,285.2151
02-Jul-2016 05:30:00,2.813488,280.2008
02-Jul-2016 05:40:00,3.052609,280.5851
02-Jul-2016 05:50:00,2.513277,284.0562
02-Jul-2016 06:00:00,2.48529,283.4106
02-Jul-2016 06:10:00,2.232509,283.569
02-Jul-2016 06:20:00,2.831663,276.8224
02-Jul-2016 06:30:00,3.187636,273.5504
02-Jul-2016 06:40:00,3.05232,277.3521
02-Jul-2016 06:50:00,3.166905,290.7588
02-Jul-2016 07:00:00,3.344984,297.14
02-Jul-2016 07:10:00,3.249994,301.155
02-Jul-2016 07:20:00,3.831761,298.8416
02-Jul-2016 07:30:00,3.845154,298.4928
02-Jul-2016 07:40:00,3.901568,297.6279
02-Jul-2016 07:50:00,3.782557,302.9424
02-Jul-2016 08:00:00,3.832786,301.4199
02-Jul-2016 08:10:00,3.959367,301.1186
02-Jul-2016 08:20:00,3.669259,301.5827
02-Jul-2016 08:30:00,3.94303,303.7534
02-Jul-2016 08:40:00,4.25336,306.0962
02-Jul-2016 08:50:00,3.782695,305.3906
02-Jul-2016 09:00:00,4.074813,310.9202
